,city,station,category,avg,std,skew,n,min,max99,True_max,median,mode,AAOMM,AAO90,95Q,ACDO90,ACDOMM,Urange,Delta,RHavgOverall
0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,"Albuquerque, NM",AIA LCD,Tavg,76.53787856658944,4.791948148238513,-0.4037429466925461,6256,55.04166666666666,87.37521958238015,90.83333333333331,76.91666666666667,78.0,0.4428571428571428,0.0428571428571428,83.89247311827957,0.0294117647058823,0.2794117647058823,14.295454766743887,10.837341015790711,42.49595905295491
2,"Amarillo, TX",AAS LCD,Tavg,76.37185944076704,5.905636343847166,-0.5042855555720798,6849,52.625,88.92323082566323,91.671875,77.04166666666667,75.75,1.2,0.1375,84.95833333333333,0.0533333333333333,0.4244444444444444,15.30001555923296,12.551371384896186,59.06518562307874
3,"Atlanta, GA",AHJ LCD,Tavg,77.66142131002793,4.28833220157984,-0.2647669994175011,6164,54.91666666666666,88.53958901746883,91.66666666666669,77.75,78.5,0.8285714285714286,0.1571428571428571,84.49741379310343,0.1343283582089552,0.5174129353233831,14.005245356638738,10.878167707440896,69.17149640398807
4,"Augusta, ME",ASA LCD,Tavg,66.89266212613744,6.035326375046916,-0.1757810994216447,4784,45.47826086956522,81.88471185167244,86.0,67.08333333333333,67.0,0.0,0.0,76.64142857142856,0.0,0.0,19.10733787386256,14.992049725534995,73.13627070443104
5,"Austin, TX",ABI LCD,Tavg,83.28392552063863,3.94751127678542,-0.1699246111286042,2290,70.55813953488372,93.46694599129005,96.0,83.52195340501791,80.0,11.6,2.2666666666666666,89.1928947368421,1.0,2.4898148148148147,12.716074479361367,10.183020470651414,72.22768807462114
6,"Bakersfield, CA",BAS LCD,Tavg,82.01567178080096,6.444319824455731,-0.4857008858400796,6072,56.875,95.60885097782818,98.22727272727272,82.67261904761905,82.0,18.542857142857144,7.914285714285715,91.57142857142856,3.131168831168831,4.708658008658009,16.211600946471776,13.593179197027226,54.149099220897874
7,"Baltiore, MD",MSC LCD,Tavg,78.96572622693319,5.533659083062001,-0.2868698868578731,1831,56.625,93.0921052631579,96.83333333333331,79.04166666666667,80.0,5.3,1.6,87.64583333333334,0.95,2.1375,17.867607106400143,14.12637903622472,59.74228205780936
8,"Birmingham, AL",BHA LCD,Tavg,78.6314458019167,4.0637662995978046,-0.3569815430408738,6164,59.75,88.94079447136346,90.83333333333331,78.75,79.0,1.2,0.1428571428571428,84.9,0.0298507462686567,0.6268656716417911,12.20188753141663,10.309348669446765,71.0193987457835
9,"Boise, ID",BAT LCD,Tavg,72.27668075685881,8.178908963105824,-0.409815068514668,7031,44.16666666666666,89.30990135116377,93.82142857142856,73.20833333333333,75.625,0.9333333333333332,0.2,84.17857142857143,0.0886075949367088,0.5063291139240507,21.54474781456976,17.033220594304964,56.98915545589348
10,"Boston, MA",BMA LCD,Tavg,70.83371416523627,6.7168729943480905,-0.2099943815891929,6909,47.16,86.97355434552495,92.0625,71.04166666666667,70.875,0.275,0.025,81.66666666666667,0.0,0.0789473684210526,21.228785834763727,16.139840180288672,67.94123735333982
11,"Bryce Canyon, UT",BCA LCD,Tavg,63.35603096120481,6.645594923327808,-0.2847200553896201,5120,32.833333333333336,79.26290805630428,83.28571428571429,63.375,63.0,0.0,0.0,74.44444444444444,0.0,0.0,19.929683324509483,15.906877095099476,59.23349478796104
12,"Buffalo, NY",BNI LCD,Tavg,69.18864043213678,5.872354350077726,-0.3976949565537548,6348,46.708333333333336,82.01796230546988,84.375,69.66666666666667,71.5,0.0,0.0,78.125,0.0,0.0,15.18635956786322,12.8293218733331,73.43260618684381
13,"Casper, WY",CNA LCD,Tavg,68.10874142969837,7.429385627029738,-0.6664962594175385,6164,32.458333333333336,83.50482311327696,87.83333333333333,69.125,72.83333333333333,0.0375,0.0,78.46339285714285,0.0,0.0298507462686567,19.72459190363496,15.396081683578586,57.43116278003957
14,"Cavern City, NM",CCA LCD,Tavg,81.23296089043285,5.108133149822049,-0.4998978001228161,5202,59.79166666666666,92.827120765797,96.11111111111111,81.82480818414322,83.0,6.55,1.4625,88.70833333333333,0.8947368421052632,2.482961190855928,14.878150220678265,11.594159875364156,48.65399312150718
15,"Charlotte, NC",CDA LCD,Tavg,77.1554248559943,4.414187456317564,-0.3755415218524656,6164,55.625,87.8562289580126,90.58333333333331,77.29448198198199,79.0,0.5857142857142857,0.0285714285714285,84.20708333333333,0.0,0.3358208955223881,13.427908477339033,10.700804102018296,68.09401322160672
16,"Chicago, IL",COI LCD,Tavg,71.82033476607076,6.61463637068393,-0.3011715576375207,6436,48.708333333333336,88.09781163651574,94.36363636363636,72.25,74.5,0.4,0.1375,82.03720238095238,0.0642857142857142,0.1761904761904762,22.5433015975656,16.277476870444985,71.17287504106001
17,"Cincinnati, OH",CMA LCD,Tavg,73.61522253618115,5.267620764719009,-0.2781438428045702,3680,53.1,86.5357799420843,91.16666666666669,73.91666666666667,72.0,0.2,0.025,81.96041666666665,0.0,0.125,17.551444130485535,12.920557405903152,75.72689903916357
18,"Cleveland, OH",CHA LCD,Tavg,71.10889215351791,5.9395960813547575,-0.3684409579784845,6164,49.04166666666666,84.41817753022329,89.33333333333333,71.5,68.5,0.0571428571428571,0.0,80.16666666666667,0.0,0.0,18.22444117981541,13.309285376705375,72.1649980282403
19,"Colorado Springs, CO",CSA LCD,Tavg,68.59267069536959,6.354557762606551,-0.579798310636679,5704,38.25,82.2670245253225,85.65384615384616,69.08333333333333,68.75,0.0,0.0,77.80550397877983,0.0,0.0,17.06117545847657,13.674353829952906,52.134911461542245
20,"Columbus, OH",JGA LCD,Tavg,72.92836553526523,5.479247109370335,-0.4111543445446455,5796,51.66666666666666,85.29831305537749,89.75,73.375,73.0,0.0571428571428571,0.0,81.21875,0.0,0.0317460317460317,16.82163446473477,12.369947520112262,70.86659809497179
21,"Corpus Christi, TX",CCI LCD,Tavg,83.08273194005683,2.464421812780972,-0.8534696890125212,6440,70.375,88.2113706640565,93.0,83.41666666666667,83.625,1.3142857142857145,0.0571428571428571,86.37521551724137,0.0,0.4571428571428571,9.917268059943169,5.128638723999671,76.66316115396938
22,"Dallas, TX",DFA LCD,Tavg,84.56409982172967,5.065256745145008,-0.4735545337376054,6440,62.04166666666666,95.38884981942893,99.16666666666669,85.08333333333333,87.0,29.5,12.157142857142857,92.04166666666669,3.7219047619047614,6.521530612244899,14.602566844937016,10.824749997699255,64.01742101545894
23,"Denver, CO",DIA LCD,Tavg,69.95203247360008,8.187337998451502,-0.7213705265477316,2518,33.0,85.74979148642686,88.33333333333333,71.11769230769231,59.0,0.125,0.0,81.10557809330629,0.0,0.1,18.381300859733244,15.797759012826774,55.45966051796918
24,"Detroit, MI",DCA LCD,Tavg,72.25305620100428,6.29994499058096,-0.2705568549256689,5978,47.25,86.98554748509206,90.5,72.58333333333333,73.5,0.3,0.0285714285714285,82.15410256410257,0.0,0.123076923076923,18.24694379899572,14.732491284087772,68.76837028851061
25,"Dickinson, ND",DRA LCD,Tavg,67.33750381938718,7.562806141062506,-0.1243859086231973,5610,35.175438596491226,85.86194025188307,90.88235294117646,67.5,71.0,0.1857142857142857,0.0142857142857142,79.43194444444445,0.0,0.081967213114754,23.544849121789284,18.52443643249589,68.74575248164174
26,"Dodge City, KS",DCA LCD,Tavg,76.85735172637997,6.955455525429346,-0.4164768701978882,6403,48.578947368421055,90.94299334283473,93.29166666666669,77.33333333333333,78.25,4.1875,0.75,87.3547619047619,0.2976190476190476,1.6495238095238096,16.434314940286697,14.085641616454753,63.6251790004033
27,"Fargo, ND",FHA LCD,Tavg,69.0664026088113,6.647206377339914,-0.1386541830152816,5703,45.25,85.54536577450284,92.20833333333331,69.35135135135135,70.125,0.1857142857142857,0.0285714285714285,79.75,0.0,0.0806451612903225,23.141930724522027,16.47896316569154,71.30835996563705
28,"Fresno, CA",FYI LCD,Tavg,80.16347306939626,6.334143111118583,-0.4306781847099039,5795,55.333333333333336,94.0738663178932,100.17857142857144,80.69565217391305,80.75,9.885714285714286,3.5285714285714285,89.78571428571429,1.914021164021164,3.3998110355253206,20.01509835917517,13.910393248496945,59.80673112324926
29,"Grand Junction, CO",GJS LCD,Tavg,76.02210021166084,5.929463085608624,-0.8953620546474023,6164,47.60869565217392,87.38274200714577,90.20689655172414,76.91666666666667,77.0,0.4571428571428571,0.0142857142857142,84.08333333333333,0.0,0.2686567164179104,14.1847963400633,11.360641795484923,48.53176652593117
30,"Havre, MT",HAS LCD,Tavg,67.22253655728179,7.5957645379601075,-0.1512559688071508,5149,39.41666666666666,84.71286116779659,87.8,67.43333333333334,69.0,0.0666666666666666,0.0,79.43809523809523,0.0,0.0357142857142857,20.57746344271821,17.490324610514804,63.882306007509385
31,"Helena, MT",HAA LCD,Tavg,65.91291596247629,7.454437326893211,-0.3806320415998548,6072,36.75,82.4632709200037,85.96666666666667,66.58477011494253,66.75,0.0,0.0,76.875,0.0,0.0,20.05375070419037,16.550354957527404,59.01082491607659
32,"Honolulu, HI",HIA LCD,Tavg,79.47619975133114,1.7420275795282911,-0.028439378336524,7360,72.16666666666667,83.97248127059419,85.37142857142857,79.47826086956522,80.0,0.0,0.0,82.375,0.0,0.0,5.895228820097429,4.49628151926305,68.46217273564248
33,"Houston, TX",HWA LCD,Tavg,82.23096827170875,2.808369349911495,-0.6462676127846745,6071,67.5,88.74690025386035,92.04166666666669,82.625,83.0,1.3285714285714283,0.1,86.16666666666667,0.0909090909090909,0.6174242424242424,9.810698394957925,6.515931982151599,74.90032184700092
34,"Idaho Falls, ID",IFA LCD,Tavg,66.04949829216311,6.6675341975313165,-0.807041811521268,5612,37.7906976744186,79.26094097058294,85.1875,67.23111111111112,69.0,0.0,0.0,75.09320175438596,0.0,0.0,19.13800170783689,13.211442678419829,64.86131171702284
35,"Indianapolis, IN",IIA LCD,Tavg,73.6800825344424,5.40168184288886,-0.3691017883558022,6164,51.125,86.7229805037141,93.65625,74.0,74.0,0.2428571428571428,0.0571428571428571,81.95833333333333,0.044776119402985,0.1343283582089552,19.976167465557594,13.042897969271692,72.85787104300496
36,"Jacksonville, FL",JIA LCD,Tavg,79.94496084289976,2.9048403679751096,-0.2116148468732649,5796,64.20833333333333,87.28414970211915,89.95833333333333,79.95833333333333,80.0,0.3428571428571428,0.0,84.625,0.0,0.1904761904761904,10.013372490433568,7.339188859219391,77.1008903429376
37,"Kansas City, Missouri",KCA LCD,Tavg,77.5161364891629,6.961996782810874,-0.0695836920823447,3355,52.648648648648646,96.113954248366,99.5,77.625,78.25,5.1,2.22,88.67843137254901,1.0897435897435896,1.6701465201465198,21.983863510837097,18.59781775920311,65.37514660916158
38,"Klamath Falls, OR",KIA LCD,Tavg,64.40357811168786,7.507801906344115,-0.4747115284880233,4939,36.083333333333336,80.43067938221436,84.18181818181819,65.28,67.5,0.0,0.0,75.5,0.0,0.0,19.778240070130323,16.0271012705265,66.28106969795752
39,"Las Vegas, NV",MIA LCD,Tavg,89.31578021409614,6.219958358608329,-0.7469427940158653,6072,59.80769230769231,102.56916045433049,105.64285714285714,90.0,92.0,57.457142857142856,42.25714285714286,97.92385714285714,7.32800024050024,11.530155997201453,16.327076928761002,13.25338024023435,29.36589625561554
40,"Lebanon, NH",LMA LCD,Tavg,67.11057671895887,6.056571577013243,-0.0906575124011525,2207,46.5,82.80899326022089,89.38888888888889,67.27272727272727,66.0,0.02,0.0,76.75,0.0,0.0,22.27831216993001,15.69841654126202,74.76129972380312
41,"Los Angeles, CA",LAI LCD,Tavg,67.43801272132451,3.471235867099546,0.4472211769447867,6164,56.91666666666666,78.71978727166244,85.125,67.25,68.0,0.0,0.0,73.5,0.0,0.0,17.68698727867549,11.281774550337929,71.62437479853978
42,"Louisville, KY",LIA LCD,Tavg,76.67284983210344,5.229979356544397,-0.3790339320934468,6164,54.833333333333336,89.16065864558848,93.7,76.91666666666667,75.75,1.0857142857142856,0.1857142857142857,84.75,0.1791044776119403,0.4104477611940298,17.027150167896565,12.487808813485046,69.12018659331363
43,"Memphis, TN",MIA LCD,Tavg,80.71025113091036,4.640566797096983,-0.3750038287592623,6164,62.458333333333336,91.66337030152364,95.0,81.0,81.5,5.771428571428571,1.0571428571428572,87.70833333333333,0.6791044776119403,1.8990049751243776,14.289748869089635,10.953119170613263,68.20348045272728
44,MIA second try,,Tavg,82.23826939159777,2.4569209635060307,-0.5191457400506508,6164,71.0,87.21516673033403,88.64102564102564,82.5,83.375,0.3428571428571428,0.0,85.75,0.0,0.0597014925373134,6.402756249427867,4.976897338736265,73.2323042281396
45,"Miles City, MT",MCA LCD,Tavg,71.40160651646093,8.17390219617219,-0.3118307294790328,6072,35.583333333333336,89.02392420564622,93.70370370370372,71.85960591133005,77.0,1.1,0.1714285714285714,83.81499999999998,0.106060606060606,0.4015151515151515,22.30209718724278,17.622317689185294,62.58395532089705
46,"Milwaukee, WI",MMA LCD,Tavg,69.50549795234802,6.998573978779078,-0.266577441057685,5704,46.125,86.40283390885696,91.66666666666669,69.79166666666667,70.0,0.1714285714285714,0.0571428571428571,80.37598522167487,0.032258064516129,0.1290322580645161,22.16116871431865,16.89733595650894,72.30356174231814
47,"Minneapolis, MN",MIA LCD,Tavg,71.33247754503778,6.51578693761422,-0.2049067386547987,6164,40.25,87.47684864730842,91.75862068965516,71.5,72.5,0.4625,0.0375,81.78571428571429,0.0,0.208955223880597,20.4261431446174,16.14437110227064,69.07008187338843
48,"Moline, IL",MCA LCD,Tavg,73.1324300532478,6.068586579970932,-0.1660447096243966,6164,50.375,87.87025047818636,90.14285714285714,73.33333333333333,74.0,0.5571428571428572,0.0142857142857142,83.04166666666667,0.0,0.2786069651741293,17.010427089609337,14.737820424938562,71.5757811521603
49,"Montpelier, VT",MPA LCD,Tavg,64.69547576312632,6.357167690443198,-0.1229249076136717,4288,43.40909090909091,80.68423494802373,85.56521739130434,64.875,66.0,0.0,0.0,74.75277777777777,0.0,0.0,20.86974162817802,15.988759184897404,75.33711021708955
50,"Nashville, TN",NIA LCD,Tavg,77.71310556798976,4.56920876572868,-0.3566933338905556,5336,60.75,89.12077735835271,93.75,77.875,76.5,0.8571428571428571,0.2,84.66666666666667,0.1264367816091954,0.4080459770114942,16.036894432010243,11.407671790362954,69.72026127062651
51,"New Orleans, LA",NOA LCD,Tavg,81.24490299005747,2.9394258024942,-0.2415507502482835,6438,67.45833333333333,88.27737583471138,90.79166666666669,81.375,81.0,1.0285714285714285,0.0571428571428571,85.95833333333333,0.0,0.444047619047619,9.546763676609215,7.03247284465391,75.48808681913351
52,"Norfolk, VA",NIA LCD,Tavg,77.1873892410174,4.959931080842451,-0.4158686488872191,6164,55.92857142857143,88.76451213897845,91.5,77.5,76.25,0.9428571428571428,0.1142857142857142,84.85357142857141,0.0298507462686567,0.5074626865671642,14.3126107589826,11.577122897961049,71.31917353049863
53,"NYC, NY",CPS LCD,Tavg,74.00257877898116,5.826633427761582,-0.2948553885674366,3650,52.24444444444445,88.33716820297207,92.08333333333331,74.25,75.0,0.4333333333333333,0.0833333333333333,83.125,0.05,0.425,18.08075455435217,14.334589423990906,67.37309742133681
54,"Oklahoma City, OK",OCT LCD,Tavg,79.98664749313524,5.770252324667597,-0.4048349833025777,5796,56.91666666666666,92.97941590828307,97.44,80.5,83.0,7.457142857142857,1.9714285714285715,88.79745370370371,0.8580729166666666,2.845486111111111,17.45335250686476,12.992768415147836,66.3506609500472
55,"Omaha, NE",OEA LCD,Tavg,74.7928995179696,6.425571174572202,-0.1802088803952732,6027,47.94594594594594,89.8792427036547,93.0,74.85714285714286,78.0,1.7285714285714286,0.3428571428571428,85.16666666666667,0.1742424242424242,0.98989898989899,18.2071004820304,15.086343185685095,69.78960392427129
56,"Philadelphia, PA",PIA LCD,Tavg,75.05873868396063,5.578742062594867,-0.3440246082170934,6164,54.22222222222222,88.5332150537795,91.88235294117646,75.45833333333333,75.04166666666667,0.6857142857142857,0.1571428571428571,83.625,0.0597014925373134,0.5074626865671642,16.823614257215837,13.474476369818872,67.55853429638438
57,"Phoenix, AZ",PAS LCD,Tavg,92.19402814830087,5.346810382754796,-0.6102430353408828,6164,68.54166666666667,103.50503041471195,106.75,92.76785714285714,91.75,71.98571428571428,59.62857142857143,99.875,10.436381404664983,21.325402748163945,14.555971851699129,11.31100226641108,35.48917394576403
58,"Pierre, SD",PRA LCD,Tavg,72.42184218717468,7.55226119989748,-0.136378523191959,6164,42.625,90.9811306949245,96.45833333333331,72.58333333333333,71.75,1.65,0.5375,84.49374999999998,0.2985074626865671,0.7761194029850746,24.036491146158653,18.559288507749827,67.27236099919419
59,"Pine Bluff, AK",PBG LCD,Tavg,81.22538261917737,4.8985608325135575,-0.010746267014742,4416,63.84615384615385,95.71511904761908,99.875,81.40370370370371,85.0,5.828571428571428,1.8142857142857145,88.75,0.6061624649859944,2.046591970121382,18.64961738082264,14.489736428441702,72.1291664081982
60,"Pine Springs, TX",PSG LCD,Tavg,74.78107673850201,5.87650182516508,-0.4062623783820597,3933,28.0,89.04650450564793,96.0,75.20833333333333,75.75,0.4571428571428571,0.1428571428571428,83.79166666666667,0.1041666666666666,0.3333333333333333,21.21892326149799,14.265427767145924,45.4038705014111
61,"Pittsburgh, PA",PAA LCD,Tavg,71.54264003314043,5.478121176377426,-0.4124008918537941,4232,49.04761904761905,83.92914712183679,88.22727272727273,71.91666666666667,73.0,0.0142857142857142,0.0,80.10208333333333,0.0,0.0,16.684632694132304,12.386507088696362,70.44550286696732
62,"Portland, OR",PIA LCD,Tavg,65.91492190421957,5.764972114070794,0.371203053739938,6521,48.5,82.8261741989354,88.78571428571429,65.46666666666667,61.708333333333336,0.0222222222222222,0.0,76.21428571428571,0.0,0.0277777777777777,22.870792381494724,16.911252294715837,74.65783678907195
63,"Rapid City, SD",RCA LCD,Tavg,69.71710359239172,7.599133992040724,-0.2775956027676591,6072,32.916666666666664,87.7422550809623,91.70833333333331,69.95833333333333,73.0,0.5142857142857142,0.0571428571428571,81.625,0.0,0.1666666666666666,21.99122974094161,18.02515148857057,62.96657114977492
64,"Redding, CA",RAS LCD,Tavg,81.0163089411634,7.331351488400465,-0.4410766472287681,4179,50.958333333333336,98.75399251214914,109.0,81.5,83.0,16.08,7.8,92.0037037037037,2.72536231884058,3.9706435472739816,27.9836910588366,17.737683570985737,57.43249683069487
65,"Rock Springs, WY",RSA LCD,Tavg,65.41738916536796,7.131976534979088,-0.91895926573712,5980,32.083333333333336,78.8398587919893,82.04166666666667,66.76470588235294,67.875,0.0,0.0,74.7505,0.0,0.0,16.624277501298707,13.422469626621336,55.68435372959353
66,"Sacramento, CA",SAA LCD,Tavg,72.35042942149992,5.801913022214239,0.2188496543605975,6164,53.5,88.09353978272912,93.48,72.0,70.0,0.5714285714285714,0.1,82.375,0.0298507462686567,0.291044776119403,21.12957057850008,15.7431103612292,67.64918987863683
67,"Salt Lake City, UT",SLC LCD,Tavg,75.30756718033173,7.488293621289601,-0.8882440729620715,6440,44.66037735849056,89.2074129045963,91.6774193548387,76.70833333333333,77.20833333333333,1.7714285714285714,0.1428571428571428,85.27795138888888,0.0571428571428571,0.7321428571428571,16.369852174506974,13.899845724264566,55.454125291854766
68,"San Antonio, TX",SAK LCD,Tavg,83.18059845052716,3.6712290504858087,-0.530316921370726,6802,67.33333333333333,91.87951145311372,95.25,83.56146304675717,83.125,9.425,1.3875,88.5,0.4075555555555555,2.7597936507936507,12.069401549472843,8.69891300258655,69.33697998035609
69,"San Diego, CA",SDI LCD,Tavg,68.72210874873781,3.73799808133997,0.3580559046174016,6164,58.8,80.05618124187313,86.08333333333333,68.5,68.125,0.0,0.0,75.18951612903224,0.0,0.0,17.36122458459552,11.334072493135324,70.32655746005702
70,"San Jose, CA",SJS LCD,Tavg,68.65876147445546,4.85377862109406,0.7434790368696018,4505,54.07142857142857,85.2747168711809,90.33333333333331,68.15789473684211,66.0,0.1,0.0166666666666666,77.7078431372549,0.0,0.0,21.67457185887787,16.61595539672544,66.57661999715768
71,"Scottsbluff, NE",SBA LCD,Tavg,70.71150278884186,6.713171077269055,-0.6066852038502276,6346,36.958333333333336,85.25539611814845,88.95833333333333,71.41666666666667,73.25,0.0875,0.0,80.33035714285714,0.0,0.0289855072463768,18.24683054449148,14.5438933293066,61.84062730982051
72,"Seattle, WA",STA LCD,Tavg,63.08057470487142,5.698880208553353,0.5473530287387658,6164,46.083333333333336,80.53681406415178,89.64285714285714,62.38867033831629,61.0,0.0142857142857142,0.0,73.57142857142857,0.0,0.0,26.56228243798572,17.456239359280367,75.7078059841263
73,"Shreveport, LA",SAS LCD,Tavg,81.32016305318403,4.199675737846662,-0.2688651797213535,6164,61.208333333333336,91.63550277932153,95.14285714285714,81.58333333333333,81.5,5.971428571428572,1.1571428571428573,87.875,0.5671641791044776,1.964179104477612,13.822694089673108,10.315339726137497,72.27359802420592
74,"Sioux City, IA",SCA LCD,Tavg,72.83715400226696,6.431135084416433,-0.2202056635731542,6440,47.03846153846154,88.03945228845231,91.08333333333331,72.91666666666667,70.5,0.55,0.075,83.20833333333333,0.0428571428571428,0.2166666666666666,18.24617933106637,15.202298286185354,71.3982448489644
75,"Spokane, WA",SIA LCD,Tavg,67.28330207284344,7.925520702438646,-0.1739829914628929,6072,41.926829268292686,84.39558915828559,90.3125,67.66666666666667,68.25,0.0571428571428571,0.0142857142857142,79.61127450980392,0.0,0.0303030303030303,23.02919792715656,17.112287085442148,66.65985299867073
76,"St Louis, MO",SLA LCD,Tavg,77.72656549146329,6.058575549076226,-0.2382934467366247,6164,54.95454545454545,92.4068946999584,96.32142857142856,77.875,79.41666666666667,4.571428571428571,1.2857142857142858,87.33154761904761,0.6776119402985075,1.6932835820895522,18.59486307996528,14.68032920849511,68.73989704170232
77,"Tampa, FL",TIA LCD,Tavg,81.27559120976007,2.465451333320926,-0.209109694084427,6164,70.125,87.12390605388713,88.5952380952381,81.33333333333333,81.0,0.2428571428571428,0.0,85.09698932926828,0.0,0.1044776119402985,7.319646885478036,5.84831484412706,74.09578560852457
78,"Utica, NY",UOA LCD,Tavg,67.98514263086616,6.121170628149151,-0.318016597460184,3127,44.34782608695652,81.10966346078436,84.56521739130434,68.375,69.0,0.0,0.0,77.78894927536231,0.0,0.0,16.58007476043818,13.124520829918197,74.31537712290978
79,"Washington, DC",WRA LCD,Tavg,77.15780640925819,5.383290215342102,-0.3911210644501767,6976,54.94285714285714,89.82751896844202,93.45714285714286,77.528125,75.0,1.7,0.2875,85.25,0.1558441558441558,0.987012987012987,16.29933644788467,12.669712559183836,66.28455007984752
80,"Wausau, WI",WAS LCD,Tavg,67.56257060247242,6.20812270386207,-0.1775850732129634,5704,45.29166666666666,82.84575539008979,88.42105263157895,67.75,70.33333333333333,0.0142857142857142,0.0,77.38885869565217,0.0,0.0,20.85848202910653,15.283184787617373,73.24777277192507
81,"Wichita, KS",WMC LCD,Tavg,78.51524184317235,6.368950789724706,-0.2090777136114086,4875,56.02857142857143,93.26339089481948,96.04166666666669,78.71428571428571,74.33333333333333,6.683333333333334,1.8166666666666669,88.44184782608696,0.6469135802469135,2.48070987654321,17.526424823494324,14.748149051647118,68.27239304687
82,"Winnemucca, NV",WAS LCD,Tavg,71.25738197426945,7.692483759510805,-0.7279790225348238,6163,39.55555555555556,86.63049154166332,90.82142857142856,72.35714285714286,73.0,0.2,0.0142857142857142,81.84122807017543,0.0,0.1343283582089552,19.56404659715912,15.373109567393868,50.03093125705812
83,"Winslow, AZ",WAS LCD,Tavg,75.88079857946515,5.991251416250484,-4.989039788820024,6147,-50.5,87.939376962228,94.75,76.16666666666667,73.75,0.4714285714285714,0.08571428571428572,83.89166666666667,0.029850746268656716,0.2835820895522388,18.86920142053485,12.058578382762846,43.35920991972777
